  0.1998593E+01  0.8898685E-01  0.5000000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1998677E+01  0.8902291E-01  0.4995000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1998761E+01  0.8905896E-01  0.4990000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1998845E+01  0.8909499E-01  0.4985000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1998930E+01  0.8913101E-01  0.4980000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999014E+01  0.8916701E-01  0.4975000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999099E+01  0.8920300E-01  0.4970000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999184E+01  0.8923897E-01  0.4965000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999269E+01  0.8927493E-01  0.4960000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999354E+01  0.8931087E-01  0.4955000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999439E+01  0.8934679E-01  0.4950000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999525E+01  0.8938269E-01  0.4945000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999610E+01  0.8941858E-01  0.4940000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999696E+01  0.8945445E-01  0.4935000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999782E+01  0.8949030E-01  0.4930000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999868E+01  0.8952614E-01  0.4925000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.1999955E+01  0.8956195E-01  0.4920000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000041E+01  0.8959775E-01  0.4915000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000128E+01  0.8963352E-01  0.4910000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000215E+01  0.8966928E-01  0.4905000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000302E+01  0.8970502E-01  0.4900000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000389E+01  0.8974074E-01  0.4895000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000476E+01  0.8977644E-01  0.4890000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000564E+01  0.8981212E-01  0.4885000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000651E+01  0.8984777E-01  0.4880000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000739E+01  0.8988341E-01  0.4875000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
  0.2000827E+01  0.8991902E-01  0.4870000E+01  0.5000000E+01  0.1000000E+01  0.1000000E+00
